folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,idmesero,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
116100,115315,2026-08-31T03:35:56-06:00,,2026-08-31T04:08:15-06:00,T1,2,50,87.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,356.0345,,413.0000,413.0000,56.9655,0.0000,413.0000,413.0000,0.0000,413.0,0.0,0.0000,0.0,0.0000,0.0000,356.0345,317.2414,38.7931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,317.2414,38.7931,0.0000,,356.0345,56.9655,0.0000,0.0000,,,,0.0000
116106,115320,2026-08-31T03:50:50-06:00,,2026-08-31T04:31:47-06:00,T6,2,50,17.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,416.3793,,483.0000,483.0000,66.6207,0.0000,483.0000,483.0000,0.0000,483.0,0.0,0.0000,0.0,0.0000,0.0000,416.3793,275.8621,134.4828,6.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,275.8621,134.4828,6.0345,,416.3793,66.6207,0.0000,0.0000,,,,0.0000
116118,115331,2026-08-31T04:52:13-06:00,,2026-08-31T05:39:13-06:00,L2,2,21,62.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,377.5862,,438.0000,438.0000,60.4138,0.0000,438.0000,438.0000,0.0000,438.0,0.0,0.0000,0.0,0.0000,0.0000,377.5862,169.8276,207.7586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169.8276,207.7586,0.0000,,377.5862,60.4138,0.0000,0.0000,,,,0.0000
116119,115329,2026-08-31T05:04:00-06:00,,2026-08-31T05:37:39-06:00,T3,2,50,48.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,475.8621,,552.0000,552.0000,76.1379,0.0000,552.0000,552.0000,0.0000,552.0,0.0,0.0000,0.0,0.0000,0.0000,475.8621,118.9655,356.8966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.9655,356.8966,0.0000,,475.8621,76.1379,0.0000,0.0000,,,,0.0000
116120,115332,2026-08-31T05:05:11-06:00,,2026-08-31T05:40:25-06:00,F3,2,28,50.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,474.1379,,550.0000,550.0000,75.8621,0.0000,550.0000,550.0000,0.0000,550.0,0.0,0.0000,0.0,0.0000,0.0000,474.1379,286.2069,187.9310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,286.2069,187.9310,0.0000,,474.1379,75.8621,0.0000,0.0000,,,,0.0000
116121,115326,2026-08-31T05:14:38-06:00,,2026-08-31T05:15:50-06:00,.LLEVAR,1,17,90.0000,0.0000,False,0.0000,,,False,0,0.0000,False,8.00,353.4483,,410.0000,410.0000,56.5517,0.0000,410.0000,410.0000,0.0000,410.0,0.0,0.0000,0.0,0.0000,0.0000,353.4483,213.7931,118.9655,20.6897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7931,118.9655,20.6897,,353.4483,56.5517,0.0000,0.0000,,,,0.0000
116123,115334,2026-08-31T05:16:55-06:00,,2026-08-31T06:00:53-06:00,E3,1,23,10.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,163.7931,,190.0000,190.0000,26.2069,0.0000,190.0000,190.0000,0.0000,190.0,0.0,0.0000,0.0,0.0000,0.0000,163.7931,125.0000,38.7931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,38.7931,0.0000,,163.7931,26.2069,0.0000,0.0000,,,,0.0000
116128,115333,2026-08-31T05:53:48-06:00,,2026-08-31T05:54:31-06:00,.LLEVAR,1,17,224.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,237.9310,,276.0000,276.0000,38.0690,0.0000,276.0000,276.0000,0.0000,276.0,0.0,0.0000,0.0,0.0000,0.0000,237.9310,167.2414,60.3448,10.3448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,167.2414,60.3448,10.3448,,237.9310,38.0690,0.0000,0.0000,,,,0.0000
116132,115345,2026-08-31T06:18:07-06:00,,2026-08-31T07:22:23-06:00,T3,2,50,76.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,365.5172,,424.0000,424.0000,58.4828,0.0000,424.0000,424.0000,0.0000,424.0,0.0,0.0000,0.0,0.0000,0.0000,365.5172,249.1379,116.3793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,249.1379,116.3793,0.0000,,365.5172,58.4828,0.0000,0.0000,,,,0.0000
116133,115359,2026-08-31T06:38:50-06:00,,2026-08-31T08:56:30-06:00,S3,1,23,46.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,391.3793,,454.0000,454.0000,62.6207,0.0000,454.0000,454.0000,0.0000,454.0,0.0,0.0000,0.0,0.0000,0.0000,391.3793,286.2069,105.1724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,286.2069,105.1724,0.0000,,391.3793,62.6207,0.0000,0.0000,,,,0.0000
