folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
69266,68893,2025-08-25T02:48:33-06:00,,2025-08-25T03:32:19-06:00,J5,1,98.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,346.5517,,402.0000,402.0000,55.4483,0.0000,402.0000,402.0000,0.0000,402.0,0.0,0.0000,0.0,0.0000,0.0000,346.5517,218.9655,127.5862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.9655,127.5862,0.0000,,346.5517,55.4483,0.0000,0.0000,,,,402.0000
69267,68895,2025-08-25T02:52:34-06:00,,2025-08-25T03:52:52-06:00,J2,2,0.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,222.4138,,258.0000,258.0000,35.5862,0.0000,258.0000,258.0000,0.0000,258.0,0.0,0.0000,0.0,0.0000,0.0000,222.4138,150.8621,71.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,150.8621,71.5517,0.0000,,222.4138,35.5862,0.0000,0.0000,,,,258.0000
69272,68899,2025-08-25T03:16:20-06:00,,2025-08-25T04:09:37-06:00,J6,3,432.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,489.6552,,568.0000,568.0000,78.3448,0.0000,568.0000,568.0000,0.0000,568.0,0.0,0.0000,0.0,0.0000,0.0000,489.6552,489.6552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,489.6552,0.0000,0.0000,,489.6552,78.3448,0.0000,0.0000,,,,568.0000
69273,68908,2025-08-25T03:20:12-06:00,,2025-08-25T05:10:52-06:00,T1,3,19.0000,0.0000,False,0.0000,,,False,0,0.0000,False,10.00,587.0690,,681.0000,681.0000,93.9310,0.0000,681.0000,681.0000,0.0000,681.0,0.0,0.0000,0.0,0.0000,0.0000,587.0690,310.3448,276.7241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,310.3448,276.7241,0.0000,,587.0690,93.9310,0.0000,0.0000,,,,681.0000
69276,68902,2025-08-25T03:30:48-06:00,,2025-08-25T04:18:18-06:00,B2,2,171.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,283.6207,,329.0000,329.0000,45.3793,0.0000,329.0000,329.0000,0.0000,329.0,0.0,0.0000,0.0,0.0000,0.0000,283.6207,189.6552,93.9655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,189.6552,93.9655,0.0000,,283.6207,45.3793,0.0000,0.0000,,,,329.0000
69277,68900,2025-08-25T03:31:23-06:00,,2025-08-25T04:11:34-06:00,C2,4,43.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,264.6552,,307.0000,307.0000,42.3448,0.0000,307.0000,307.0000,0.0000,307.0,0.0,0.0000,0.0,0.0000,0.0000,264.6552,0.0000,264.6552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,264.6552,0.0000,,264.6552,42.3448,0.0000,0.0000,,,,307.0000
69279,68906,2025-08-25T03:39:38-06:00,,2025-08-25T04:41:08-06:00,6,2,60.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,293.1034,,340.0000,340.0000,46.8966,0.0000,340.0000,340.0000,0.0000,340.0,0.0,0.0000,0.0,0.0000,0.0000,293.1034,172.4138,120.6897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,172.4138,120.6897,0.0000,,293.1034,46.8966,0.0000,0.0000,,,,340.0000
69281,68929,2025-08-25T03:50:55-06:00,,2025-08-25T06:40:56-06:00,T4,1,351.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,128.4483,,149.0000,149.0000,20.5517,0.0000,149.0000,149.0000,0.0000,149.0,0.0,0.0000,0.0,0.0000,0.0000,128.4483,93.9655,34.4828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,93.9655,34.4828,0.0000,,128.4483,20.5517,0.0000,0.0000,,,,149.0000
69283,68903,2025-08-25T04:02:44-06:00,,2025-08-25T04:36:21-06:00,3,3,83.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,359.4828,,417.0000,417.0000,57.5172,0.0000,417.0000,417.0000,0.0000,417.0,0.0,0.0000,0.0,0.0000,0.0000,359.4828,262.0690,97.4138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,262.0690,97.4138,0.0000,,359.4828,57.5172,0.0000,0.0000,,,,417.0000
69303,68914,2025-08-25T04:31:37-06:00,,2025-08-25T05:41:38-06:00,C4-A,1,15.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,245.6897,,285.0000,285.0000,39.3103,,285.0000,285.0000,0.0000,285.0,0.0,0.0000,0.0,0.0000,0.0000,245.6897,172.4138,73.2759,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,172.4138,73.2759,0.0000,,245.6897,39.3103,0.0000,0.0000,,,,285.0000
69304,68915,2025-08-25T04:31:37-06:00,,2025-08-25T05:41:42-06:00,C4-B,1,1.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,128.4483,,149.0000,149.0000,20.5517,,149.0000,149.0000,0.0000,149.0,0.0,0.0000,0.0,0.0000,0.0000,128.4483,82.7586,45.6897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,82.7586,45.6897,0.0000,,128.4483,20.5517,0.0000,0.0000,,,,149.0000
69290,68916,2025-08-25T04:59:02-06:00,,2025-08-25T05:41:58-06:00,J2,3,10.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,551.7241,,640.0000,640.0000,88.2759,0.0000,640.0000,640.0000,0.0000,640.0,0.0,0.0000,0.0,0.0000,0.0000,551.7241,398.2759,147.4138,6.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,398.2759,147.4138,6.0345,,551.7241,88.2759,0.0000,0.0000,,,,640.0000
