folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,idmesero,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
110398,109670,2026-07-19T03:06:43-06:00,,2026-07-19T04:42:09-06:00,L4,2,25,8.0000,0.0000,False,0.0000,,,False,0,0.0000,False,16.00,1027.5862,,1192.0000,1192.0000,164.4138,0.0000,1192.0000,1192.0000,0.0000,1192.0,0.0,0.0000,0.0,0.0000,0.0000,1027.5862,620.6897,406.8966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,620.6897,406.8966,0.0000,,1027.5862,164.4138,0.0000,0.0000,,,,0.0000
110399,109659,2026-07-19T03:11:52-06:00,,2026-07-19T03:43:39-06:00,T1,2,44,117.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,330.1724,,383.0000,383.0000,52.8276,0.0000,383.0000,383.0000,0.0000,383.0,0.0,0.0000,0.0,0.0000,0.0000,330.1724,330.1724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.1724,0.0000,0.0000,,330.1724,52.8276,0.0000,0.0000,,,,0.0000
110400,109660,2026-07-19T03:18:28-06:00,,2026-07-19T03:44:16-06:00,T7,1,44,7.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,114.6552,,133.0000,133.0000,18.3448,0.0000,133.0000,133.0000,0.0000,133.0,0.0,0.0000,0.0,0.0000,0.0000,114.6552,73.2759,41.3793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.2759,41.3793,0.0000,,114.6552,18.3448,0.0000,0.0000,,,,0.0000
110404,109672,2026-07-19T03:32:35-06:00,,2026-07-19T05:05:58-06:00,A5,2,45,0.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,606.0345,,703.0000,703.0000,96.9655,0.0000,703.0000,703.0000,0.0000,703.0,0.0,0.0000,0.0,0.0000,0.0000,606.0345,338.7931,267.2414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,338.7931,267.2414,0.0000,,606.0345,96.9655,0.0000,0.0000,,,,0.0000
110409,109661,2026-07-19T03:45:19-06:00,,2026-07-19T04:21:19-06:00,F6,1,09,63.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,376.7241,,437.0000,437.0000,60.2759,0.0000,437.0000,437.0000,0.0000,437.0,0.0,0.0000,0.0,0.0000,0.0000,376.7241,258.6207,118.1034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,258.6207,118.1034,0.0000,,376.7241,60.2759,0.0000,0.0000,,,,0.0000
110410,109665,2026-07-19T03:46:28-06:00,,2026-07-19T04:28:02-06:00,A2,2,45,52.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,300.0000,,348.0000,348.0000,48.0000,0.0000,348.0000,348.0000,0.0000,348.0,0.0,0.0000,0.0,0.0000,0.0000,300.0000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300.0000,0.0000,0.0000,,300.0000,48.0000,0.0000,0.0000,,,,0.0000
110414,109667,2026-07-19T04:01:47-06:00,,2026-07-19T04:32:35-06:00,E2,2,28,84.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,358.6207,,416.0000,416.0000,57.3793,0.0000,416.0000,416.0000,0.0000,416.0,0.0,0.0000,0.0,0.0000,0.0000,358.6207,298.2759,60.3448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,298.2759,60.3448,0.0000,,358.6207,57.3793,0.0000,0.0000,,,,0.0000
110417,109694,2026-07-19T04:12:10-06:00,,2026-07-19T06:29:23-06:00,L1,4,25,148.0000,0.0000,False,0.0000,,,False,0,0.0000,False,12.00,906.8966,,1052.0000,1052.0000,145.1034,0.0000,1052.0000,1052.0000,0.0000,1052.0,0.0,0.0000,0.0,0.0000,0.0000,906.8966,762.0690,144.8276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,762.0690,144.8276,0.0000,,906.8966,145.1034,0.0000,0.0000,,,,0.0000
110421,109687,2026-07-19T04:31:31-06:00,,2026-07-19T06:01:24-06:00,F3,6,09,13.0000,0.0000,False,0.0000,,,False,0,0.0000,False,24.00,1799.1379,,2087.0000,2087.0000,287.8621,0.0000,2087.0000,2087.0000,0.0000,2087.0,0.0,0.0000,0.0,0.0000,0.0000,1799.1379,1115.5172,683.6207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1115.5172,683.6207,0.0000,,1799.1379,287.8621,0.0000,0.0000,,,,0.0000
110423,109703,2026-07-19T04:35:24-06:00,,2026-07-19T07:02:09-06:00,.LLEVAR,1,17,44.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,220.6897,,256.0000,256.0000,35.3103,0.0000,256.0000,256.0000,0.0000,256.0,0.0,0.0000,0.0,0.0000,0.0000,220.6897,133.6207,76.7241,10.3448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,133.6207,76.7241,10.3448,,220.6897,35.3103,0.0000,0.0000,,,,0.0000
