folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,idmesero,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
128677,127968,2026-08-24T02:38:44-06:00,,2026-08-24T04:05:38-06:00,T1,1,46,201.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,257.7586,,299.0000,299.0000,41.2414,0.0000,299.0000,299.0000,0.0000,299.0,0.0,0.0000,0.0,0.0000,0.0000,257.7586,198.2759,59.4828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,198.2759,59.4828,0.0000,,257.7586,41.2414,0.0000,0.0000,,,,299.0000
128681,127974,2026-08-24T03:11:13-06:00,,2026-08-24T04:37:31-06:00,J3,1,48,0.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,264.6552,,307.0000,307.0000,42.3448,0.0000,307.0000,307.0000,0.0000,307.0,0.0,0.0000,0.0,0.0000,0.0000,264.6552,154.3103,110.3448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,154.3103,110.3448,0.0000,,264.6552,42.3448,0.0000,0.0000,,,,307.0000
128686,127965,2026-08-24T03:25:09-06:00,,2026-08-24T04:00:56-06:00,J3,2,48,94.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,350.0000,,406.0000,406.0000,56.0000,0.0000,406.0000,406.0000,0.0000,406.0,0.0,0.0000,0.0,0.0000,0.0000,350.0000,350.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,350.0000,0.0000,0.0000,,350.0000,56.0000,0.0000,0.0000,,,,406.0000
128689,127970,2026-08-24T03:32:23-06:00,,2026-08-24T04:23:10-06:00,C2,2,57,27.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,407.7586,,473.0000,473.0000,65.2414,0.0000,473.0000,473.0000,0.0000,473.0,0.0,0.0000,0.0,0.0000,0.0000,407.7586,293.9655,113.7931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,293.9655,113.7931,0.0000,,407.7586,65.2414,0.0000,0.0000,,,,473.0000
128695,127980,2026-08-24T04:28:12-06:00,,2026-08-24T05:17:11-06:00,T1,2,46,46.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,520.6897,,604.0000,604.0000,83.3103,0.0000,604.0000,604.0000,0.0000,604.0,0.0,0.0000,0.0,0.0000,0.0000,520.6897,470.6897,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,470.6897,50.0000,0.0000,,520.6897,83.3103,0.0000,0.0000,,,,604.0000
128701,127977,2026-08-24T04:46:11-06:00,,2026-08-24T04:46:51-06:00,",LLEVAR",1,32,55.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,125.0000,,145.0000,145.0000,20.0000,0.0000,145.0000,145.0000,0.0000,145.0,0.0,0.0000,0.0,0.0000,0.0000,125.0000,118.9655,0.0000,6.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.9655,0.0000,6.0345,,125.0000,20.0000,0.0000,0.0000,,,,145.0000
128702,127983,2026-08-24T04:49:23-06:00,,2026-08-24T05:34:02-06:00,J2,2,48,146.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,305.1724,,354.0000,354.0000,48.8276,0.0000,354.0000,354.0000,0.0000,354.0,0.0,0.0000,0.0,0.0000,0.0000,305.1724,268.9655,36.2069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,268.9655,36.2069,0.0000,,305.1724,48.8276,0.0000,0.0000,,,,354.0000
128703,127981,2026-08-24T05:06:49-06:00,,2026-08-24T05:22:19-06:00,.LLEVAR,1,32,0.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,174.1379,,202.0000,202.0000,27.8621,0.0000,202.0000,202.0000,0.0000,202.0,0.0,0.0000,0.0,0.0000,0.0000,174.1379,162.0690,0.0000,12.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,162.0690,0.0000,12.0690,,174.1379,27.8621,0.0000,0.0000,,,,202.0000
128713,127991,2026-08-24T05:43:37-06:00,,2026-08-24T06:05:56-06:00,C4,3,57,342.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,136.2069,,158.0000,158.0000,21.7931,0.0000,158.0000,158.0000,0.0000,158.0,0.0,0.0000,0.0,0.0000,0.0000,136.2069,0.0000,136.2069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136.2069,0.0000,,136.2069,21.7931,0.0000,0.0000,,,,158.0000
128716,127995,2026-08-24T06:03:40-06:00,,2026-08-24T06:32:24-06:00,T4,1,46,0.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,172.4138,,200.0000,200.0000,27.5862,0.0000,200.0000,200.0000,0.0000,200.0,0.0,0.0000,0.0,0.0000,0.0000,172.4138,85.3448,87.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,85.3448,87.0690,0.0000,,172.4138,27.5862,0.0000,0.0000,,,,200.0000
