folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,idmesero,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
114416,113652,2026-08-19T02:57:16-06:00,,2026-08-19T04:25:10-06:00,A2,2,36,11.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,421.5517,,489.0000,489.0000,67.4483,0.0000,489.0000,489.0000,0.0000,489.0,0.0,0.0000,0.0,0.0000,0.0000,421.5517,331.0345,90.5172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,331.0345,90.5172,0.0000,,421.5517,67.4483,0.0000,0.0000,,,,0.0000
114423,113651,2026-08-19T03:24:39-06:00,,2026-08-19T04:14:59-06:00,T6,2,52,18.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,415.5172,,482.0000,482.0000,66.4828,0.0000,482.0000,482.0000,0.0000,482.0,0.0,0.0000,0.0,0.0000,0.0000,415.5172,277.5862,137.9310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,277.5862,137.9310,0.0000,,415.5172,66.4828,0.0000,0.0000,,,,0.0000
114426,113656,2026-08-19T03:34:11-06:00,,2026-08-19T04:52:14-06:00,F6,2,50,146.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,305.1724,,354.0000,354.0000,48.8276,0.0000,354.0000,354.0000,0.0000,354.0,0.0,0.0000,0.0,0.0000,0.0000,305.1724,215.5172,89.6552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.5172,89.6552,0.0000,,305.1724,48.8276,0.0000,0.0000,,,,0.0000
114427,113662,2026-08-19T03:35:32-06:00,,2026-08-19T05:30:12-06:00,L1,2,23,57.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,381.8966,,443.0000,443.0000,61.1034,0.0000,443.0000,443.0000,0.0000,443.0,0.0,0.0000,0.0,0.0000,0.0000,381.8966,235.3448,146.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,235.3448,146.5517,0.0000,,381.8966,61.1034,0.0000,0.0000,,,,0.0000
114430,113655,2026-08-19T03:57:41-06:00,,2026-08-19T04:47:42-06:00,L2,4,23,174.0000,0.0000,False,0.0000,,,False,0,0.0000,False,12.00,884.4828,,1026.0000,1026.0000,141.5172,0.0000,1026.0000,1026.0000,0.0000,1026.0,0.0,0.0000,0.0,0.0000,0.0000,884.4828,561.2069,323.2759,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,561.2069,323.2759,0.0000,,884.4828,141.5172,0.0000,0.0000,,,,0.0000
114437,113659,2026-08-19T04:43:46-06:00,,2026-08-19T05:16:18-06:00,A3,2,36,163.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,204.3103,,237.0000,237.0000,32.6897,0.0000,237.0000,237.0000,0.0000,237.0,0.0,0.0000,0.0,0.0000,0.0000,204.3103,85.3448,118.9655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,85.3448,118.9655,0.0000,,204.3103,32.6897,0.0000,0.0000,,,,0.0000
114443,113667,2026-08-19T05:07:02-06:00,,2026-08-19T05:49:54-06:00,E4,2,28,446.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,477.5862,,554.0000,554.0000,76.4138,0.0000,554.0000,554.0000,0.0000,554.0,0.0,0.0000,0.0,0.0000,0.0000,477.5862,387.9310,89.6552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,387.9310,89.6552,0.0000,,477.5862,76.4138,0.0000,0.0000,,,,0.0000
114451,113687,2026-08-19T05:31:14-06:00,,2026-08-19T07:14:02-06:00,A4,2,36,41.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,309.4828,,359.0000,359.0000,49.5172,0.0000,359.0000,359.0000,0.0000,359.0,0.0,0.0000,0.0,0.0000,0.0000,309.4828,153.4483,156.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,153.4483,156.0345,0.0000,,309.4828,49.5172,0.0000,0.0000,,,,0.0000
114452,113675,2026-08-19T05:31:51-06:00,,2026-08-19T06:26:06-06:00,A3,2,36,30.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,405.1724,,470.0000,470.0000,64.8276,0.0000,470.0000,470.0000,0.0000,470.0,0.0,0.0000,0.0,0.0000,0.0000,405.1724,279.3103,125.8621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,279.3103,125.8621,0.0000,,405.1724,64.8276,0.0000,0.0000,,,,0.0000
114453,113672,2026-08-19T05:41:44-06:00,,2026-08-19T06:17:48-06:00,E5,2,28,7.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,381.8966,,443.0000,443.0000,61.1034,0.0000,443.0000,443.0000,0.0000,443.0,0.0,0.0000,0.0,0.0000,0.0000,381.8966,296.5517,85.3448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,296.5517,85.3448,0.0000,,381.8966,61.1034,0.0000,0.0000,,,,0.0000
