folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,idmesero,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
113166,112395,2026-08-09T04:19:19-06:00,,2026-08-09T04:59:51-06:00,T7,2,45,181.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,447.4138,,519.0000,519.0000,71.5862,0.0000,519.0000,519.0000,0.0000,519.0,0.0,0.0000,0.0,0.0000,0.0000,447.4138,281.8966,165.5172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,281.8966,165.5172,0.0000,,447.4138,71.5862,0.0000,0.0000,,,,0.0000
113169,112396,2026-08-09T04:28:39-06:00,,2026-08-09T05:04:22-06:00,E2,1,47,75.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,366.3793,,425.0000,425.0000,58.6207,0.0000,425.0000,425.0000,0.0000,425.0,0.0,0.0000,0.0,0.0000,0.0000,366.3793,259.4828,106.8966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.4828,106.8966,0.0000,,366.3793,58.6207,0.0000,0.0000,,,,0.0000
113165,112401,2026-08-09T04:18:56-06:00,,2026-08-09T05:29:37-06:00,L4,3,24,118.0000,0.0000,False,0.0000,,,False,0,0.0000,False,13.00,760.3448,,882.0000,882.0000,121.6552,0.0000,882.0000,882.0000,0.0000,882.0,0.0,0.0000,0.0,0.0000,0.0000,760.3448,659.4828,88.7931,12.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,659.4828,88.7931,12.0690,,760.3448,121.6552,0.0000,0.0000,,,,0.0000
113159,112410,2026-08-09T04:09:04-06:00,,2026-08-09T05:49:29-06:00,L2,3,24,129.0000,0.0000,False,0.0000,,,False,0,0.0000,False,9.00,578.4483,,671.0000,671.0000,92.5517,0.0000,671.0000,671.0000,0.0000,671.0,0.0,0.0000,0.0,0.0000,0.0000,578.4483,578.4483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,578.4483,0.0000,0.0000,,578.4483,92.5517,0.0000,0.0000,,,,0.0000
113151,112387,2026-08-09T03:44:13-06:00,,2026-08-09T04:21:18-06:00,F2,2,50,81.0000,0.0000,False,0.0000,,,False,0,0.0000,False,9.00,792.2414,,919.0000,919.0000,126.7586,0.0000,919.0000,919.0000,0.0000,919.0,0.0,0.0000,0.0,0.0000,0.0000,792.2414,650.0000,142.2414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,650.0000,142.2414,0.0000,,792.2414,126.7586,0.0000,0.0000,,,,0.0000
113149,112384,2026-08-09T03:33:08-06:00,,2026-08-09T04:10:11-06:00,A3,2,51,92.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,351.7241,,408.0000,408.0000,56.2759,0.0000,408.0000,408.0000,0.0000,408.0,0.0,0.0000,0.0,0.0000,0.0000,351.7241,292.2414,59.4828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,292.2414,59.4828,0.0000,,351.7241,56.2759,0.0000,0.0000,,,,0.0000
113148,112389,2026-08-09T03:32:18-06:00,,2026-08-09T04:33:53-06:00,L1,4,24,153.0000,0.0000,False,0.0000,,,False,0,0.0000,False,10.00,929.4828,,1047.0000,1047.0000,117.5172,0.0000,1047.0000,1047.0000,0.0000,1047.0,0.0,0.0000,0.0,0.0000,0.0000,929.4828,664.6552,69.8276,195.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,664.6552,69.8276,195.0000,,929.4828,117.5172,0.0000,0.0000,,,,0.0000
113203,112442,2026-08-09T06:36:23-06:00,,2026-08-09T08:13:05-06:00,A3,2,51,340.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,137.9310,,160.0000,160.0000,22.0690,0.0000,160.0000,160.0000,0.0000,160.0,0.0,0.0000,0.0,0.0000,0.0000,137.9310,0.0000,137.9310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,137.9310,0.0000,,137.9310,22.0690,0.0000,0.0000,,,,0.0000
113212,112444,2026-08-09T07:34:29-06:00,,2026-08-09T08:27:07-06:00,T2,4,45,143.0000,0.0000,False,0.0000,,,False,0,0.0000,False,9.00,738.7931,,857.0000,857.0000,118.2069,0.0000,857.0000,857.0000,0.0000,857.0,0.0,0.0000,0.0,0.0000,0.0000,738.7931,511.2069,227.5862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,511.2069,227.5862,0.0000,,738.7931,118.2069,0.0000,0.0000,,,,0.0000
113181,112413,2026-08-09T05:04:48-06:00,,2026-08-09T05:55:19-06:00,T3,5,45,31.0000,0.0000,False,0.0000,,,False,0,0.0000,False,11.00,835.3448,,969.0000,969.0000,133.6552,0.0000,969.0000,969.0000,0.0000,969.0,0.0,0.0000,0.0,0.0000,0.0000,835.3448,640.5172,194.8276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,640.5172,194.8276,0.0000,,835.3448,133.6552,0.0000,0.0000,,,,0.0000
113182,112408,2026-08-09T05:06:39-06:00,,2026-08-09T05:47:45-06:00,A2,2,51,0.0000,0.0000,False,0.0000,,,False,0,0.0000,False,8.00,605.1724,,702.0000,702.0000,96.8276,0.0000,702.0000,702.0000,0.0000,702.0,0.0,0.0000,0.0,0.0000,0.0000,605.1724,551.7241,53.4483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,551.7241,53.4483,0.0000,,605.1724,96.8276,0.0000,0.0000,,,,0.0000
113184,112421,2026-08-09T05:10:15-06:00,,2026-08-09T06:24:01-06:00,E45,4,47,88.0000,0.0000,False,0.0000,,,False,0,0.0000,False,12.00,1131.0345,,1312.0000,1312.0000,180.9655,0.0000,1312.0000,1312.0000,0.0000,1312.0,0.0,0.0000,0.0,0.0000,0.0000,1131.0345,834.4828,296.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,834.4828,296.5517,0.0000,,1131.0345,180.9655,0.0000,0.0000,,,,0.0000
113190,112423,2026-08-09T05:40:45-06:00,,2026-08-09T06:30:25-06:00,E1,2,47,106.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,339.6552,,394.0000,394.0000,54.3448,0.0000,394.0000,394.0000,0.0000,394.0,0.0,0.0000,0.0,0.0000,0.0000,339.6552,334.4828,5.1724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,334.4828,5.1724,0.0000,,339.6552,54.3448,0.0000,0.0000,,,,0.0000
