folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
106778,106060,2026-06-21T03:17:51-06:00,,2026-06-21T04:13:21-06:00,E1,1,0.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,436.2069,,506.0000,506.0000,69.7931,0.0000,506.0000,506.0000,0.0000,506.0,0.0,0.0000,0.0,0.0000,0.0000,436.2069,315.5172,120.6897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,315.5172,120.6897,0.0000,,436.2069,69.7931,0.0000,0.0000,,,,0.0000
106780,106076,2026-06-21T03:20:56-06:00,,2026-06-21T04:57:18-06:00,A3,2,30.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,318.9655,,370.0000,370.0000,51.0345,0.0000,370.0000,370.0000,0.0000,370.0,0.0,0.0000,0.0,0.0000,0.0000,318.9655,218.1034,100.8621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.1034,100.8621,0.0000,,318.9655,51.0345,0.0000,0.0000,,,,0.0000
106786,106066,2026-06-21T03:37:17-06:00,,2026-06-21T04:32:22-06:00,A5,2,461.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,464.6552,,539.0000,539.0000,74.3448,0.0000,539.0000,539.0000,0.0000,539.0,0.0,0.0000,0.0,0.0000,0.0000,464.6552,284.4828,180.1724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,284.4828,180.1724,0.0000,,464.6552,74.3448,0.0000,0.0000,,,,0.0000
106793,106069,2026-06-21T04:00:24-06:00,,2026-06-21T04:38:55-06:00,F5,1,53.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,385.3448,,447.0000,447.0000,61.6552,0.0000,447.0000,447.0000,0.0000,447.0,0.0,0.0000,0.0,0.0000,0.0000,385.3448,204.3103,181.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,204.3103,181.0345,0.0000,,385.3448,61.6552,0.0000,0.0000,,,,0.0000
106794,106070,2026-06-21T04:02:49-06:00,,2026-06-21T04:39:11-06:00,T6,2,58.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,381.0345,,442.0000,442.0000,60.9655,0.0000,442.0000,442.0000,0.0000,442.0,0.0,0.0000,0.0,0.0000,0.0000,381.0345,334.4828,46.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,334.4828,46.5517,0.0000,,381.0345,60.9655,0.0000,0.0000,,,,0.0000
106803,106105,2026-06-21T04:30:12-06:00,,2026-06-21T07:07:57-06:00,F6,2,5.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,340.5172,,395.0000,395.0000,54.4828,0.0000,395.0000,395.0000,0.0000,395.0,0.0,0.0000,0.0,0.0000,0.0000,340.5172,136.2069,204.3103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136.2069,204.3103,0.0000,,340.5172,54.4828,0.0000,0.0000,,,,0.0000
106814,106092,2026-06-21T04:55:07-06:00,,2026-06-21T06:04:59-06:00,L6,1,31.0000,0.0000,False,0.0000,,,False,0,0.0000,False,10.00,792.2414,,919.0000,919.0000,126.7586,0.0000,919.0000,919.0000,0.0000,919.0,0.0,0.0000,0.0,0.0000,0.0000,792.2414,664.6552,127.5862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,664.6552,127.5862,0.0000,,792.2414,126.7586,0.0000,0.0000,,,,0.0000
106815,106093,2026-06-21T05:02:49-06:00,,2026-06-21T06:11:35-06:00,E6,5,13.0000,0.0000,False,0.0000,,,False,0,0.0000,False,13.00,1023.2759,,1187.0000,1187.0000,163.7241,0.0000,1187.0000,1187.0000,0.0000,1187.0,0.0,0.0000,0.0,0.0000,0.0000,1023.2759,806.8966,216.3793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,806.8966,216.3793,0.0000,,1023.2759,163.7241,0.0000,0.0000,,,,0.0000
106818,106091,2026-06-21T05:11:45-06:00,,2026-06-21T05:58:17-06:00,A3,2,4.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,147.4138,,171.0000,171.0000,23.5862,0.0000,171.0000,171.0000,0.0000,171.0,0.0,0.0000,0.0,0.0000,0.0000,147.4138,102.5862,44.8276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,102.5862,44.8276,0.0000,,147.4138,23.5862,0.0000,0.0000,,,,0.0000
106819,106100,2026-06-21T05:12:14-06:00,,2026-06-21T06:34:41-06:00,S4,4,10.0000,0.0000,False,0.0000,,,False,0,0.0000,False,12.00,853.4483,,990.0000,990.0000,136.5517,0.0000,990.0000,990.0000,0.0000,990.0,0.0,0.0000,0.0,0.0000,0.0000,853.4483,493.1034,360.3448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,493.1034,360.3448,0.0000,,853.4483,136.5517,0.0000,0.0000,,,,0.0000
