folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,idmesero,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
113267,112510,2026-08-10T03:20:54-06:00,,2026-08-10T04:33:21-06:00,L3,2,44,23.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,411.2069,,477.0000,477.0000,65.7931,0.0000,477.0000,477.0000,0.0000,477.0,0.0,0.0000,0.0,0.0000,0.0000,411.2069,411.2069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,411.2069,0.0000,0.0000,,411.2069,65.7931,0.0000,0.0000,,,,0.0000
113268,112531,2026-08-10T03:30:08-06:00,,2026-08-10T05:48:00-06:00,A3,2,47,162.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,291.3793,,338.0000,338.0000,46.6207,0.0000,338.0000,338.0000,0.0000,338.0,0.0,0.0000,0.0,0.0000,0.0000,291.3793,286.2069,5.1724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,286.2069,5.1724,0.0000,,291.3793,46.6207,0.0000,0.0000,,,,0.0000
113286,112518,2026-08-10T04:33:15-06:00,,2026-08-10T05:10:56-06:00,F1,2,07,81.0000,0.0000,False,0.0000,,,False,0,0.0000,False,8.00,361.2069,,419.0000,419.0000,57.7931,0.0000,419.0000,419.0000,0.0000,419.0,0.0,0.0000,0.0,0.0000,0.0000,361.2069,170.6897,186.2069,4.3103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,170.6897,186.2069,4.3103,,361.2069,57.7931,0.0000,0.0000,,,,0.0000
113288,112523,2026-08-10T04:41:25-06:00,,2026-08-10T05:25:54-06:00,F5,2,07,15.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,418.1034,,485.0000,485.0000,66.8966,0.0000,485.0000,485.0000,0.0000,485.0,0.0,0.0000,0.0,0.0000,0.0000,418.1034,321.5517,96.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,321.5517,96.5517,0.0000,,418.1034,66.8966,0.0000,0.0000,,,,0.0000
113312,112545,2026-08-10T06:42:55-06:00,,2026-08-10T07:36:45-06:00,L4,2,44,24.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,151.7241,,176.0000,176.0000,24.2759,0.0000,176.0000,176.0000,0.0000,176.0,0.0,0.0000,0.0,0.0000,0.0000,151.7241,0.0000,151.7241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151.7241,0.0000,,151.7241,24.2759,0.0000,0.0000,,,,0.0000
113309,112542,2026-08-10T06:21:16-06:00,,2026-08-10T06:59:33-06:00,A3,1,47,28.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,406.8966,,472.0000,472.0000,65.1034,0.0000,472.0000,472.0000,0.0000,472.0,0.0,0.0000,0.0,0.0000,0.0000,406.8966,281.0345,119.8276,6.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,281.0345,119.8276,6.0345,,406.8966,65.1034,0.0000,0.0000,,,,0.0000
113308,112538,2026-08-10T06:19:25-06:00,,2026-08-10T06:40:56-06:00,A5,1,47,275.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,193.9655,,225.0000,225.0000,31.0345,0.0000,225.0000,225.0000,0.0000,225.0,0.0,0.0000,0.0,0.0000,0.0000,193.9655,137.0690,56.8966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,137.0690,56.8966,0.0000,,193.9655,31.0345,0.0000,0.0000,,,,0.0000
113303,112540,2026-08-10T05:46:07-06:00,,2026-08-10T06:48:50-06:00,E2,1,36,117.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,502.5862,,583.0000,583.0000,80.4138,0.0000,583.0000,583.0000,0.0000,583.0,0.0,0.0000,0.0,0.0000,0.0000,502.5862,395.6897,106.8966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,395.6897,106.8966,0.0000,,502.5862,80.4138,0.0000,0.0000,,,,0.0000
113300,112535,2026-08-10T05:36:04-06:00,,2026-08-10T06:10:53-06:00,L3,3,44,13.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,419.8276,,487.0000,487.0000,67.1724,0.0000,487.0000,487.0000,0.0000,487.0,0.0,0.0000,0.0,0.0000,0.0000,419.8276,219.8276,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,219.8276,200.0000,0.0000,,419.8276,67.1724,0.0000,0.0000,,,,0.0000
113335,112572,2026-08-10T10:46:11-06:00,,2026-08-10T10:48:18-06:00,.LLEVAR,1,17,34.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,143.1034,,166.0000,166.0000,22.8966,0.0000,166.0000,166.0000,0.0000,166.0,0.0,0.0000,0.0,0.0000,0.0000,143.1034,137.0690,0.0000,6.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,137.0690,0.0000,6.0345,,143.1034,22.8966,0.0000,0.0000,,,,0.0000
