folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,idmesero,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
129125,128405,2026-08-27T03:47:03-06:00,,2026-08-27T04:31:55-06:00,B2,2,43,320.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,155.1724,,180.0000,180.0000,24.8276,0.0000,180.0000,180.0000,0.0000,180.0,0.0,0.0000,0.0,0.0000,0.0000,155.1724,50.8621,104.3103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.8621,104.3103,0.0000,,155.1724,24.8276,0.0000,0.0000,,,,180.0000
129127,128411,2026-08-27T03:55:03-06:00,,2026-08-27T04:45:44-06:00,J4,2,56,36.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,141.3793,,164.0000,164.0000,22.6207,0.0000,164.0000,164.0000,0.0000,164.0,0.0,0.0000,0.0,0.0000,0.0000,141.3793,141.3793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,141.3793,0.0000,0.0000,,141.3793,22.6207,0.0000,0.0000,,,,164.0000
129130,128404,2026-08-27T04:07:07-06:00,,2026-08-27T04:30:55-06:00,5,1,57,41.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,180.1724,,209.0000,209.0000,28.8276,0.0000,209.0000,209.0000,0.0000,209.0,0.0,0.0000,0.0,0.0000,0.0000,180.1724,133.6207,46.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,133.6207,46.5517,0.0000,,180.1724,28.8276,0.0000,0.0000,,,,209.0000
129131,128407,2026-08-27T04:07:21-06:00,,2026-08-27T04:40:32-06:00,J2,2,56,44.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,350.0000,,406.0000,406.0000,56.0000,0.0000,406.0000,406.0000,0.0000,406.0,0.0,0.0000,0.0,0.0000,0.0000,350.0000,241.3793,108.6207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,241.3793,108.6207,0.0000,,350.0000,56.0000,0.0000,0.0000,,,,406.0000
129132,128409,2026-08-27T04:17:43-06:00,,2026-08-27T04:42:04-06:00,J3,2,56,568.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,372.4138,,432.0000,432.0000,59.5862,0.0000,432.0000,432.0000,0.0000,432.0,0.0,0.0000,0.0,0.0000,0.0000,372.4138,237.9310,134.4828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,237.9310,134.4828,0.0000,,372.4138,59.5862,0.0000,0.0000,,,,432.0000
129138,128418,2026-08-27T04:49:18-06:00,,2026-08-27T05:30:45-06:00,T1,2,46,67.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,373.2759,,433.0000,433.0000,59.7241,0.0000,433.0000,433.0000,0.0000,433.0,0.0,0.0000,0.0,0.0000,0.0000,373.2759,326.7241,46.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,326.7241,46.5517,0.0000,,373.2759,59.7241,0.0000,0.0000,,,,433.0000
129140,128415,2026-08-27T05:04:08-06:00,,2026-08-27T05:16:51-06:00,.ANA,1,32,4.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,168.9655,,196.0000,196.0000,27.0345,0.0000,196.0000,196.0000,0.0000,196.0,0.0,0.0000,0.0,0.0000,0.0000,168.9655,76.7241,81.8966,10.3448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.7241,81.8966,10.3448,,168.9655,27.0345,0.0000,0.0000,,,,196.0000
129141,128424,2026-08-27T05:06:31-06:00,,2026-08-27T06:15:57-06:00,J1,5,56,482.0000,0.0000,False,0.0000,,,False,0,0.0000,False,11.00,877.5862,,1018.0000,1018.0000,140.4138,0.0000,1018.0000,1018.0000,0.0000,1018.0,0.0,0.0000,0.0,0.0000,0.0000,877.5862,800.0000,77.5862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,800.0000,77.5862,0.0000,,877.5862,140.4138,0.0000,0.0000,,,,1018.0000
129143,128465,2026-08-27T05:14:06-06:00,,2026-08-27T11:13:13-06:00,.CARMEN,1,32,330.5000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,146.1207,,169.5000,169.5000,23.3793,0.0000,169.5000,169.5000,0.0000,169.5,0.0,0.0000,0.0,0.0000,0.0000,193.9655,146.1207,0.0000,0.0000,47.8448,47.8448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.8448,193.9655,0.0000,0.0000,,146.1207,23.3793,0.0000,0.0000,,,,169.5000
129144,128414,2026-08-27T05:14:10-06:00,,2026-08-27T05:15:14-06:00,.LLEVAR,1,32,89.0000,0.0000,False,0.0000,,,False,0,0.0000,False,8.00,354.3103,,411.0000,411.0000,56.6897,0.0000,411.0000,411.0000,0.0000,411.0,0.0,0.0000,0.0,0.0000,0.0000,354.3103,227.5862,106.0345,20.6897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,227.5862,106.0345,20.6897,,354.3103,56.6897,0.0000,0.0000,,,,411.0000
