folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
68932,68581,2025-08-23T02:46:45-06:00,,2025-08-23T05:40:29-06:00,J3,3,91.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,352.5862,,409.0000,409.0000,56.4138,0.0000,409.0000,409.0000,0.0000,409.0,0.0,0.0000,0.0,0.0000,0.0000,352.5862,184.4828,168.1034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,184.4828,168.1034,0.0000,,352.5862,56.4138,0.0000,0.0000,,,,409.0000
68934,68564,2025-08-23T02:51:34-06:00,,2025-08-23T03:46:06-06:00,C3,1,29.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,233.6207,,271.0000,271.0000,37.3793,0.0000,271.0000,271.0000,0.0000,271.0,0.0,0.0000,0.0,0.0000,0.0000,233.6207,193.9655,39.6552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,193.9655,39.6552,0.0000,,233.6207,37.3793,0.0000,0.0000,,,,271.0000
68936,68562,2025-08-23T02:53:57-06:00,,2025-08-23T03:35:32-06:00,B3,2,126.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,322.4138,,374.0000,374.0000,51.5862,0.0000,374.0000,374.0000,0.0000,374.0,0.0,0.0000,0.0,0.0000,0.0000,322.4138,253.4483,68.9655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,253.4483,68.9655,0.0000,,322.4138,51.5862,0.0000,0.0000,,,,374.0000
68939,68565,2025-08-23T03:09:04-06:00,,2025-08-23T03:55:44-06:00,J6,4,302.0000,0.0000,False,0.0000,,,False,0,0.0000,False,8.00,601.7241,,698.0000,698.0000,96.2759,0.0000,698.0000,698.0000,0.0000,698.0,0.0,0.0000,0.0,0.0000,0.0000,601.7241,601.7241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,601.7241,0.0000,0.0000,,601.7241,96.2759,0.0000,0.0000,,,,698.0000
68940,68563,2025-08-23T03:12:15-06:00,,2025-08-23T03:45:59-06:00,C2,2,186.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,270.6897,,314.0000,314.0000,43.3103,0.0000,314.0000,314.0000,0.0000,314.0,0.0,0.0000,0.0,0.0000,0.0000,270.6897,270.6897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,270.6897,0.0000,0.0000,,270.6897,43.3103,0.0000,0.0000,,,,314.0000
68953,68576,2025-08-23T04:15:28-06:00,,2025-08-23T05:10:32-06:00,D2,1,296.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,175.8621,,204.0000,204.0000,28.1379,0.0000,204.0000,204.0000,0.0000,204.0,0.0,0.0000,0.0,0.0000,0.0000,175.8621,133.6207,42.2414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,133.6207,42.2414,0.0000,,175.8621,28.1379,0.0000,0.0000,,,,204.0000
68954,68584,2025-08-23T04:19:31-06:00,,2025-08-23T05:51:52-06:00,B3,2,79.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,362.9310,,421.0000,421.0000,58.0690,0.0000,421.0000,421.0000,0.0000,421.0,0.0,0.0000,0.0,0.0000,0.0000,362.9310,201.7241,161.2069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,201.7241,161.2069,0.0000,,362.9310,58.0690,0.0000,0.0000,,,,421.0000
68955,68573,2025-08-23T04:19:50-06:00,,2025-08-23T04:55:46-06:00,J6,4,40.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,396.5517,,460.0000,460.0000,63.4483,0.0000,460.0000,460.0000,0.0000,460.0,0.0,0.0000,0.0,0.0000,0.0000,396.5517,184.4828,212.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,184.4828,212.0690,0.0000,,396.5517,63.4483,0.0000,0.0000,,,,460.0000
68959,68575,2025-08-23T04:26:26-06:00,,2025-08-23T05:09:30-06:00,T4,1,241.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,223.2759,,259.0000,259.0000,35.7241,0.0000,259.0000,259.0000,0.0000,259.0,0.0,0.0000,0.0,0.0000,0.0000,223.2759,125.0000,98.2759,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,98.2759,0.0000,,223.2759,35.7241,0.0000,0.0000,,,,259.0000
68960,68579,2025-08-23T04:32:56-06:00,,2025-08-23T05:37:45-06:00,B4,2,96.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,262.0690,,304.0000,304.0000,41.9310,0.0000,304.0000,304.0000,0.0000,304.0,0.0,0.0000,0.0,0.0000,0.0000,262.0690,218.9655,43.1034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.9655,43.1034,0.0000,,262.0690,41.9310,0.0000,0.0000,,,,304.0000
