folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
106669,105951,2026-06-20T06:23:58-06:00,,2026-06-20T06:58:29-06:00,S3,2,0.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,520.6897,,604.0000,604.0000,83.3103,0.0000,604.0000,604.0000,0.0000,604.0,0.0,0.0000,0.0,0.0000,0.0000,520.6897,361.2069,159.4828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,361.2069,159.4828,0.0000,,520.6897,83.3103,0.0000,0.0000,,,,0.0000
106672,105956,2026-06-20T06:31:03-06:00,,2026-06-20T07:26:55-06:00,L12,1,170.0000,0.0000,False,0.0000,,,False,0,0.0000,False,21.00,1577.5862,,1830.0000,1830.0000,252.4138,0.0000,1830.0000,1830.0000,0.0000,1830.0,0.0,0.0000,0.0,0.0000,0.0000,1577.5862,1023.2759,554.3103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1023.2759,554.3103,0.0000,,1577.5862,252.4138,0.0000,0.0000,,,,0.0000
106682,105971,2026-06-20T08:20:57-06:00,,2026-06-20T09:24:33-06:00,L3,3,191.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,266.3793,,309.0000,309.0000,42.6207,0.0000,309.0000,309.0000,0.0000,309.0,0.0,0.0000,0.0,0.0000,0.0000,266.3793,102.5862,163.7931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,102.5862,163.7931,0.0000,,266.3793,42.6207,0.0000,0.0000,,,,0.0000
106697,105993,2026-06-20T10:11:59-06:00,,2026-06-20T12:07:25-06:00,F3,2,144.0000,0.0000,False,0.0000,,,False,0,0.0000,False,8.00,737.9310,,856.0000,856.0000,118.0690,0.0000,856.0000,856.0000,0.0000,856.0,0.0,0.0000,0.0,0.0000,0.0000,737.9310,477.5862,260.3448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,477.5862,260.3448,0.0000,,737.9310,118.0690,0.0000,0.0000,,,,0.0000
106705,105987,2026-06-20T10:48:59-06:00,,2026-06-20T11:26:01-06:00,F2,2,202.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,256.8966,,298.0000,298.0000,41.1034,0.0000,298.0000,298.0000,0.0000,298.0,0.0,0.0000,0.0,0.0000,0.0000,256.8966,163.7931,93.1034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,163.7931,93.1034,0.0000,,256.8966,41.1034,0.0000,0.0000,,,,0.0000
106706,105991,2026-06-20T11:02:15-06:00,,2026-06-20T11:51:51-06:00,T5,2,206.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,253.4483,,294.0000,294.0000,40.5517,0.0000,294.0000,294.0000,0.0000,294.0,0.0,0.0000,0.0,0.0000,0.0000,253.4483,184.4828,68.9655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,184.4828,68.9655,0.0000,,253.4483,40.5517,0.0000,0.0000,,,,0.0000
106707,105989,2026-06-20T11:12:31-06:00,,2026-06-20T11:34:33-06:00,T7,3,156.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,296.5517,,344.0000,344.0000,47.4483,0.0000,344.0000,344.0000,0.0000,344.0,0.0,0.0000,0.0,0.0000,0.0000,296.5517,57.7586,238.7931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.7586,238.7931,0.0000,,296.5517,47.4483,0.0000,0.0000,,,,0.0000
106716,106012,2026-06-20T11:54:31-06:00,,2026-06-20T14:14:17-06:00,.BRYANCARDENAS,2,301.2000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,171.3793,,198.8000,198.8000,27.4207,,198.8000,198.8000,0.0000,198.8,0.0,0.0000,0.0,0.0000,0.0000,244.8276,171.3793,0.0000,0.0000,73.4483,73.4483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.4483,244.8276,0.0000,0.0000,,171.3793,27.4207,0.0000,0.0000,,,,0.0000
106719,106025,2026-06-20T12:23:25-06:00,,2026-06-20T15:02:24-06:00,T4,2,27.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,278.4483,,323.0000,323.0000,44.5517,0.0000,323.0000,323.0000,0.0000,323.0,0.0,0.0000,0.0,0.0000,0.0000,278.4483,154.3103,124.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,154.3103,124.1379,0.0000,,278.4483,44.5517,0.0000,0.0000,,,,0.0000
106722,105997,2026-06-20T12:37:31-06:00,,2026-06-20T13:02:47-06:00,L2,5,23.0000,0.0000,False,0.0000,,,False,0,0.0000,False,9.00,583.6207,,677.0000,677.0000,93.3793,0.0000,677.0000,677.0000,0.0000,677.0,0.0,0.0000,0.0,0.0000,0.0000,583.6207,384.4828,193.1034,6.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384.4828,193.1034,6.0345,,583.6207,93.3793,0.0000,0.0000,,,,0.0000
106726,106023,2026-06-20T12:41:51-06:00,,2026-06-20T14:59:10-06:00,F3,3,4.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,341.3793,,396.0000,396.0000,54.6207,0.0000,396.0000,396.0000,0.0000,396.0,0.0,0.0000,0.0,0.0000,0.0000,341.3793,0.0000,341.3793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,341.3793,0.0000,,341.3793,54.6207,0.0000,0.0000,,,,0.0000
106730,106007,2026-06-20T12:55:48-06:00,,2026-06-20T14:01:19-06:00,L5,2,276.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,193.1034,,224.0000,224.0000,30.8966,0.0000,224.0000,224.0000,0.0000,224.0,0.0,0.0000,0.0,0.0000,0.0000,193.1034,76.7241,116.3793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.7241,116.3793,0.0000,,193.1034,30.8966,0.0000,0.0000,,,,0.0000
106731,106010,2026-06-20T13:04:17-06:00,,2026-06-20T14:04:57-06:00,A4,2,235.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,228.4483,,265.0000,265.0000,36.5517,0.0000,265.0000,265.0000,0.0000,265.0,0.0,0.0000,0.0,0.0000,0.0000,228.4483,76.7241,151.7241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.7241,151.7241,0.0000,,228.4483,36.5517,0.0000,0.0000,,,,0.0000
106736,106002,2026-06-20T13:35:37-06:00,,2026-06-20T13:37:06-06:00,.LLEV,1,55.0000,0.0000,False,0.0000,,,False,0,0.0000,False,8.00,383.6207,,445.0000,445.0000,61.3793,0.0000,445.0000,445.0000,0.0000,445.0,0.0,0.0000,0.0,0.0000,0.0000,383.6207,206.0345,162.9310,14.6552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,206.0345,162.9310,14.6552,,383.6207,61.3793,0.0000,0.0000,,,,0.0000
106738,106021,2026-06-20T13:41:46-06:00,,2026-06-20T14:52:45-06:00,L1,2,57.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,468.1034,,543.0000,543.0000,74.8966,0.0000,543.0000,543.0000,0.0000,543.0,0.0,0.0000,0.0,0.0000,0.0000,468.1034,212.0690,256.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,212.0690,256.0345,0.0000,,468.1034,74.8966,0.0000,0.0000,,,,0.0000
106739,106013,2026-06-20T13:50:10-06:00,,2026-06-20T14:18:17-06:00,L2,2,4.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,263.7931,,306.0000,306.0000,42.2069,0.0000,306.0000,306.0000,0.0000,306.0,0.0,0.0000,0.0,0.0000,0.0000,263.7931,111.2069,152.5862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,111.2069,152.5862,0.0000,,263.7931,42.2069,0.0000,0.0000,,,,0.0000
106741,106037,2026-06-20T13:55:13-06:00,,2026-06-20T15:41:00-06:00,F7LUCIANA,1,57.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,123.2759,,143.0000,143.0000,19.7241,0.0000,143.0000,143.0000,0.0000,143.0,0.0,0.0000,0.0,0.0000,0.0000,123.2759,76.7241,46.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.7241,46.5517,0.0000,,123.2759,19.7241,0.0000,0.0000,,,,0.0000
106746,106043,2026-06-20T14:07:50-06:00,,2026-06-20T16:04:34-06:00,E6,2,153.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,471.5517,,547.0000,547.0000,75.4483,0.0000,547.0000,547.0000,0.0000,547.0,0.0,0.0000,0.0,0.0000,0.0000,471.5517,188.7931,282.7586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,188.7931,282.7586,0.0000,,471.5517,75.4483,0.0000,0.0000,,,,0.0000
106747,106026,2026-06-20T14:12:27-06:00,,2026-06-20T15:08:55-06:00,S1,2,233.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,230.1724,,267.0000,267.0000,36.8276,0.0000,267.0000,267.0000,0.0000,267.0,0.0,0.0000,0.0,0.0000,0.0000,230.1724,76.7241,153.4483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.7241,153.4483,0.0000,,230.1724,36.8276,0.0000,0.0000,,,,0.0000
106749,106033,2026-06-20T14:21:40-06:00,,2026-06-20T15:18:46-06:00,B1,2,7.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,209.4828,,243.0000,243.0000,33.5172,0.0000,243.0000,243.0000,0.0000,243.0,0.0,0.0000,0.0,0.0000,0.0000,209.4828,76.7241,132.7586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.7241,132.7586,0.0000,,209.4828,33.5172,0.0000,0.0000,,,,0.0000
106751,106039,2026-06-20T14:44:39-06:00,,2026-06-20T15:42:40-06:00,T3,4,256.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,641.3793,,744.0000,744.0000,102.6207,0.0000,744.0000,744.0000,0.0000,744.0,0.0,0.0000,0.0,0.0000,0.0000,641.3793,395.6897,245.6897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,395.6897,245.6897,0.0000,,641.3793,102.6207,0.0000,0.0000,,,,0.0000
106754,106034,2026-06-20T14:50:43-06:00,,2026-06-20T15:36:50-06:00,L4,3,69.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,543.9655,,631.0000,631.0000,87.0345,0.0000,631.0000,631.0000,0.0000,631.0,0.0,0.0000,0.0,0.0000,0.0000,543.9655,350.0000,193.9655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,350.0000,193.9655,0.0000,,543.9655,87.0345,0.0000,0.0000,,,,0.0000
106757,106046,2026-06-20T14:59:12-06:00,,2026-06-20T16:25:44-06:00,S34,8,160.0000,0.0000,False,0.0000,,,False,0,0.0000,False,23.00,1758.6207,,2040.0000,2040.0000,281.3793,0.0000,2040.0000,2040.0000,0.0000,2040.0,0.0,0.0000,0.0,0.0000,0.0000,1758.6207,1152.5862,601.7241,4.3103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1152.5862,601.7241,4.3103,,1758.6207,281.3793,0.0000,0.0000,,,,0.0000
106758,106035,2026-06-20T15:04:12-06:00,,2026-06-20T15:38:58-06:00,L67,5,207.0000,0.0000,False,0.0000,,,False,0,0.0000,False,12.00,683.6207,,793.0000,793.0000,109.3793,0.0000,793.0000,793.0000,0.0000,793.0,0.0,0.0000,0.0,0.0000,0.0000,683.6207,304.3103,379.3103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,304.3103,379.3103,0.0000,,683.6207,109.3793,0.0000,0.0000,,,,0.0000
106765,106055,2026-06-20T16:43:43-06:00,,2026-06-20T16:53:53-06:00,L4,2,47.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,131.8966,,153.0000,153.0000,21.1034,0.0000,153.0000,153.0000,0.0000,153.0,0.0,0.0000,0.0,0.0000,0.0000,131.8966,0.0000,131.8966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,131.8966,0.0000,,131.8966,21.1034,0.0000,0.0000,,,,0.0000
