folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,idmesero,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
110643,109904,2026-07-21T03:07:35-06:00,,2026-07-21T04:35:51-06:00,F7,2,36,18.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,415.5172,,482.0000,482.0000,66.4828,0.0000,482.0000,482.0000,0.0000,482.0,0.0,0.0000,0.0,0.0000,0.0000,415.5172,275.0000,140.5172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,275.0000,140.5172,0.0000,,415.5172,66.4828,0.0000,0.0000,,,,0.0000
110648,109931,2026-07-21T03:27:05-06:00,,2026-07-21T06:33:01-06:00,L3,3,23,212.0000,0.0000,False,0.0000,,,False,0,0.0000,False,9.00,679.3103,,788.0000,788.0000,108.6897,0.0000,788.0000,788.0000,0.0000,788.0,0.0,0.0000,0.0,0.0000,0.0000,679.3103,501.7241,177.5862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,501.7241,177.5862,0.0000,,679.3103,108.6897,0.0000,0.0000,,,,0.0000
110649,109948,2026-07-21T03:27:28-06:00,,2026-07-21T07:48:24-06:00,.ABIGAILCASTIZO,1,17,16.5000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,115.0862,,133.5000,133.5000,18.4138,0.0000,133.5000,133.5000,0.0000,133.5,0.0,0.0000,0.0,0.0000,0.0000,155.1724,106.4655,8.6207,0.0000,40.0862,40.0862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0862,146.5517,8.6207,0.0000,,115.0862,18.4138,0.0000,0.0000,,,,0.0000
110650,109912,2026-07-21T03:34:35-06:00,,2026-07-21T05:14:41-06:00,L1,7,23,0.0000,0.0000,False,0.0000,,,False,0,0.0000,False,18.00,1429.3103,,1658.0000,1658.0000,228.6897,0.0000,1658.0000,1658.0000,0.0000,1658.0,0.0,0.0000,0.0,0.0000,0.0000,1429.3103,1099.1379,330.1724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1099.1379,330.1724,0.0000,,1429.3103,228.6897,0.0000,0.0000,,,,0.0000
110653,109916,2026-07-21T03:39:15-06:00,,2026-07-21T05:38:31-06:00,T6,1,45,18.0000,0.0000,False,0.0000,,,False,0,0.0000,False,8.00,587.9310,,682.0000,682.0000,94.0690,0.0000,682.0000,682.0000,0.0000,682.0,0.0,0.0000,0.0,0.0000,0.0000,587.9310,428.4483,159.4828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,428.4483,159.4828,0.0000,,587.9310,94.0690,0.0000,0.0000,,,,0.0000
110659,109903,2026-07-21T04:10:43-06:00,,2026-07-21T06:04:57-06:00,L7,1,23,41.0000,0.0000,False,0.0000,,,False,0,0.0000,False,25.00,1688.7931,,1959.0000,1959.0000,270.2069,0.0000,1959.0000,1959.0000,0.0000,1959.0,0.0,0.0000,0.0,0.0000,0.0000,1688.7931,1502.5862,186.2069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1502.5862,186.2069,0.0000,,1688.7931,270.2069,0.0000,0.0000,,,,0.0000
110661,109905,2026-07-21T04:15:44-06:00,,2026-07-21T04:36:55-06:00,.LLALAN,1,17,19.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,156.0345,,181.0000,181.0000,24.9655,0.0000,181.0000,181.0000,0.0000,181.0,0.0,0.0000,0.0,0.0000,0.0000,156.0345,99.1379,46.5517,10.3448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.1379,46.5517,10.3448,,156.0345,24.9655,0.0000,0.0000,,,,0.0000
110663,109941,2026-07-21T04:17:15-06:00,,2026-07-21T07:06:47-06:00,A4,1,44,121.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,326.7241,,379.0000,379.0000,52.2759,0.0000,379.0000,379.0000,0.0000,379.0,0.0,0.0000,0.0,0.0000,0.0000,326.7241,201.7241,125.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,201.7241,125.0000,0.0000,,326.7241,52.2759,0.0000,0.0000,,,,0.0000
110664,109907,2026-07-21T04:19:10-06:00,,2026-07-21T04:47:56-06:00,.LLVIVIANA,1,17,11.0000,0.0000,False,0.0000,,,False,0,0.0000,False,10.00,464.6552,,539.0000,539.0000,74.3448,0.0000,539.0000,539.0000,0.0000,539.0,0.0,0.0000,0.0,0.0000,0.0000,464.6552,317.2414,120.6897,26.7241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,317.2414,120.6897,26.7241,,464.6552,74.3448,0.0000,0.0000,,,,0.0000
110671,109917,2026-07-21T04:37:14-06:00,,2026-07-21T05:42:12-06:00,E4,1,09,36.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,400.0000,,464.0000,464.0000,64.0000,0.0000,464.0000,464.0000,0.0000,464.0,0.0,0.0000,0.0,0.0000,0.0000,400.0000,343.1034,56.8966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,343.1034,56.8966,0.0000,,400.0000,64.0000,0.0000,0.0000,,,,0.0000
