folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,idmesero,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
125373,124737,2026-08-02T03:21:32-06:00,,2026-08-02T08:55:10-06:00,J3,2,48,253.0000,0.0000,False,0.0000,,,False,0,0.0000,False,8.00,643.9655,,747.0000,747.0000,103.0345,0.0000,747.0000,747.0000,0.0000,747.0,0.0,0.0000,0.0,0.0000,0.0000,643.9655,450.8621,193.1034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,450.8621,193.1034,0.0000,,643.9655,103.0345,0.0000,0.0000,,,,747.0000
125378,124683,2026-08-02T03:26:59-06:00,,2026-08-02T04:11:00-06:00,J5,1,48,76.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,193.1034,,224.0000,224.0000,30.8966,0.0000,224.0000,224.0000,0.0000,224.0,0.0,0.0000,0.0,0.0000,0.0000,193.1034,143.1034,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,143.1034,50.0000,0.0000,,193.1034,30.8966,0.0000,0.0000,,,,224.0000
125379,124699,2026-08-02T03:32:31-06:00,,2026-08-02T05:21:59-06:00,B2,2,15,16.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,142.2414,,165.0000,165.0000,22.7586,0.0000,165.0000,165.0000,0.0000,165.0,0.0,0.0000,0.0,0.0000,0.0000,142.2414,0.0000,142.2414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,142.2414,0.0000,,142.2414,22.7586,0.0000,0.0000,,,,165.0000
125380,124682,2026-08-02T03:34:16-06:00,,2026-08-02T04:10:58-06:00,J4,1,48,355.0000,0.0000,False,0.0000,,,False,0,0.0000,False,1.00,125.0000,,145.0000,145.0000,20.0000,0.0000,145.0000,145.0000,0.0000,145.0,0.0,0.0000,0.0,0.0000,0.0000,125.0000,125.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,0.0000,0.0000,,125.0000,20.0000,0.0000,0.0000,,,,145.0000
125381,124692,2026-08-02T03:35:55-06:00,,2026-08-02T04:43:46-06:00,J6,2,48,22.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,325.8621,,378.0000,378.0000,52.1379,0.0000,378.0000,378.0000,0.0000,378.0,0.0,0.0000,0.0,0.0000,0.0000,325.8621,325.8621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,325.8621,0.0000,0.0000,,325.8621,52.1379,0.0000,0.0000,,,,378.0000
125392,124696,2026-08-02T03:58:54-06:00,,2026-08-02T04:55:24-06:00,T4,1,12,276.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,193.1034,,224.0000,224.0000,30.8966,0.0000,224.0000,224.0000,0.0000,224.0,0.0,0.0000,0.0,0.0000,0.0000,193.1034,193.1034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,193.1034,0.0000,0.0000,,193.1034,30.8966,0.0000,0.0000,,,,224.0000
125396,124695,2026-08-02T04:19:48-06:00,,2026-08-02T04:55:24-06:00,6,2,41,38.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,484.4828,,562.0000,562.0000,77.5172,0.0000,562.0000,562.0000,0.0000,562.0,0.0,0.0000,0.0,0.0000,0.0000,484.4828,300.8621,183.6207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300.8621,183.6207,0.0000,,484.4828,77.5172,0.0000,0.0000,,,,562.0000
125398,124698,2026-08-02T04:20:36-06:00,,2026-08-02T05:02:27-06:00,5,2,41,404.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,513.7931,,596.0000,596.0000,82.2069,0.0000,596.0000,596.0000,0.0000,596.0,0.0,0.0000,0.0,0.0000,0.0000,513.7931,430.1724,83.6207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,430.1724,83.6207,0.0000,,513.7931,82.2069,0.0000,0.0000,,,,596.0000
125408,124707,2026-08-02T05:18:08-06:00,,2026-08-02T05:56:12-06:00,T3,1,12,55.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,383.6207,,445.0000,445.0000,61.3793,0.0000,445.0000,445.0000,0.0000,445.0,0.0,0.0000,0.0,0.0000,0.0000,383.6207,252.5862,131.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,252.5862,131.0345,0.0000,,383.6207,61.3793,0.0000,0.0000,,,,445.0000
125409,124711,2026-08-02T05:18:57-06:00,,2026-08-02T06:27:25-06:00,J4,2,48,100.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,344.8276,,400.0000,400.0000,55.1724,0.0000,400.0000,400.0000,0.0000,400.0,0.0,0.0000,0.0,0.0000,0.0000,344.8276,241.3793,103.4483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,241.3793,103.4483,0.0000,,344.8276,55.1724,0.0000,0.0000,,,,400.0000
