folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,idmesero,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
125494,124807,2026-08-03T03:26:28-06:00,,2026-08-03T04:52:33-06:00,C4,2,41,28.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,234.4828,,272.0000,272.0000,37.5172,0.0000,272.0000,272.0000,0.0000,272.0,0.0,0.0000,0.0,0.0000,0.0000,234.4828,142.2414,92.2414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,142.2414,92.2414,0.0000,,234.4828,37.5172,0.0000,0.0000,,,,272.0000
125495,124797,2026-08-03T03:30:13-06:00,,2026-08-03T04:05:19-06:00,T4,2,12,87.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,356.0345,,413.0000,413.0000,56.9655,0.0000,413.0000,413.0000,0.0000,413.0,0.0,0.0000,0.0,0.0000,0.0000,356.0345,241.3793,114.6552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,241.3793,114.6552,0.0000,,356.0345,56.9655,0.0000,0.0000,,,,413.0000
125500,124803,2026-08-03T03:49:38-06:00,,2026-08-03T04:37:29-06:00,J3,1,04,36.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,141.3793,,164.0000,164.0000,22.6207,0.0000,164.0000,164.0000,0.0000,164.0,0.0,0.0000,0.0,0.0000,0.0000,141.3793,136.2069,5.1724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136.2069,5.1724,0.0000,,141.3793,22.6207,0.0000,0.0000,,,,164.0000
125501,124800,2026-08-03T03:56:42-06:00,,2026-08-03T04:18:17-06:00,B3,2,47,25.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,280.1724,,325.0000,325.0000,44.8276,0.0000,325.0000,325.0000,0.0000,325.0,0.0,0.0000,0.0,0.0000,0.0000,280.1724,178.4483,101.7241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,178.4483,101.7241,0.0000,,280.1724,44.8276,0.0000,0.0000,,,,325.0000
125509,124805,2026-08-03T04:45:46-06:00,,2026-08-03T04:46:20-06:00,.LLEVAR2,1,32,82.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,360.3448,,418.0000,418.0000,57.6552,0.0000,418.0000,418.0000,0.0000,418.0,0.0,0.0000,0.0,0.0000,0.0000,360.3448,342.2414,0.0000,18.1034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,342.2414,0.0000,18.1034,,360.3448,57.6552,0.0000,0.0000,,,,418.0000
125510,124814,2026-08-03T04:47:35-06:00,,2026-08-03T05:40:09-06:00,B4,2,47,93.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,437.0690,,507.0000,507.0000,69.9310,0.0000,507.0000,507.0000,0.0000,507.0,0.0,0.0000,0.0,0.0000,0.0000,437.0690,295.6897,141.3793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,295.6897,141.3793,0.0000,,437.0690,69.9310,0.0000,0.0000,,,,507.0000
125512,124812,2026-08-03T04:52:20-06:00,,2026-08-03T05:38:41-06:00,C2,1,41,306.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,167.2414,,194.0000,194.0000,26.7586,0.0000,194.0000,194.0000,0.0000,194.0,0.0,0.0000,0.0,0.0000,0.0000,167.2414,116.3793,50.8621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,116.3793,50.8621,0.0000,,167.2414,26.7586,0.0000,0.0000,,,,194.0000
125515,124811,2026-08-03T05:07:58-06:00,,2026-08-03T05:37:55-06:00,J3,2,04,1.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,356.8966,,414.0000,414.0000,57.1034,0.0000,414.0000,414.0000,0.0000,414.0,0.0,0.0000,0.0,0.0000,0.0000,356.8966,210.3448,146.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,210.3448,146.5517,0.0000,,356.8966,57.1034,0.0000,0.0000,,,,414.0000
125517,124813,2026-08-03T05:11:48-06:00,,2026-08-03T05:39:54-06:00,T4,1,12,266.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,201.7241,,234.0000,234.0000,32.2759,0.0000,234.0000,234.0000,0.0000,234.0,0.0,0.0000,0.0,0.0000,0.0000,201.7241,154.3103,47.4138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,154.3103,47.4138,0.0000,,201.7241,32.2759,0.0000,0.0000,,,,234.0000
125519,124816,2026-08-03T05:32:41-06:00,,2026-08-03T05:57:11-06:00,C3,1,41,6.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,141.3793,,164.0000,164.0000,22.6207,0.0000,164.0000,164.0000,0.0000,164.0,0.0,0.0000,0.0,0.0000,0.0000,141.3793,141.3793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,141.3793,0.0000,0.0000,,141.3793,22.6207,0.0000,0.0000,,,,164.0000
