folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
69137,68768,2025-08-24T03:43:32-06:00,,2025-08-24T04:51:44-06:00,T2,2,5.0000,0.0000,False,0.0000,,,False,0,0.0000,False,8.00,426.7241,,495.0000,495.0000,68.2759,0.0000,495.0000,495.0000,0.0000,495.0,0.0,0.0000,0.0,0.0000,0.0000,426.7241,366.3793,60.3448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,366.3793,60.3448,0.0000,,426.7241,68.2759,0.0000,0.0000,,,,495.0000
69140,68762,2025-08-24T03:47:11-06:00,,2025-08-24T04:15:46-06:00,J3,1,316.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,158.6207,,184.0000,184.0000,25.3793,0.0000,184.0000,184.0000,0.0000,184.0,0.0,0.0000,0.0,0.0000,0.0000,158.6207,158.6207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,158.6207,0.0000,0.0000,,158.6207,25.3793,0.0000,0.0000,,,,184.0000
69142,68765,2025-08-24T03:53:54-06:00,,2025-08-24T04:41:30-06:00,C4,4,0.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,571.5517,,663.0000,663.0000,91.4483,0.0000,663.0000,663.0000,0.0000,663.0,0.0,0.0000,0.0,0.0000,0.0000,571.5517,421.5517,150.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,421.5517,150.0000,0.0000,,571.5517,91.4483,0.0000,0.0000,,,,663.0000
69146,68774,2025-08-24T04:09:31-06:00,,2025-08-24T05:00:32-06:00,C3,1,45.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,133.6207,,155.0000,155.0000,21.3793,0.0000,155.0000,155.0000,0.0000,155.0,0.0,0.0000,0.0,0.0000,0.0000,133.6207,90.5172,43.1034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,90.5172,43.1034,0.0000,,133.6207,21.3793,0.0000,0.0000,,,,155.0000
69149,68767,2025-08-24T04:12:48-06:00,,2025-08-24T04:49:07-06:00,T3,2,44.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,393.1034,,456.0000,456.0000,62.8966,0.0000,456.0000,456.0000,0.0000,456.0,0.0,0.0000,0.0,0.0000,0.0000,393.1034,358.6207,34.4828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,358.6207,34.4828,0.0000,,393.1034,62.8966,0.0000,0.0000,,,,456.0000
69155,68771,2025-08-24T04:36:21-06:00,,2025-08-24T04:54:20-06:00,J3,1,25.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,150.8621,,175.0000,175.0000,24.1379,0.0000,175.0000,175.0000,0.0000,175.0,0.0,0.0000,0.0,0.0000,0.0000,150.8621,107.7586,43.1034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107.7586,43.1034,0.0000,,150.8621,24.1379,0.0000,0.0000,,,,175.0000
69157,68789,2025-08-24T04:44:02-06:00,,2025-08-24T06:23:08-06:00,4,1,63.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,376.7241,,437.0000,437.0000,60.2759,0.0000,437.0000,437.0000,0.0000,437.0,0.0,0.0000,0.0,0.0000,0.0000,376.7241,232.7586,143.9655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,232.7586,143.9655,0.0000,,376.7241,60.2759,0.0000,0.0000,,,,437.0000
69159,68780,2025-08-24T04:50:00-06:00,,2025-08-24T05:48:58-06:00,J2,4,62.0000,0.0000,False,0.0000,,,False,0,0.0000,False,10.00,636.2069,,738.0000,738.0000,101.7931,0.0000,738.0000,738.0000,0.0000,738.0,0.0,0.0000,0.0,0.0000,0.0000,636.2069,583.6207,52.5862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,583.6207,52.5862,0.0000,,636.2069,101.7931,0.0000,0.0000,,,,738.0000
69162,68781,2025-08-24T05:09:04-06:00,,2025-08-24T05:50:47-06:00,B4,2,14.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,505.1724,,586.0000,586.0000,80.8276,0.0000,586.0000,586.0000,0.0000,586.0,0.0,0.0000,0.0,0.0000,0.0000,505.1724,400.0000,105.1724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,400.0000,105.1724,0.0000,,505.1724,80.8276,0.0000,0.0000,,,,586.0000
69173,68788,2025-08-24T06:04:21-06:00,,2025-08-24T06:20:07-06:00,C3,1,357.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,123.2759,,143.0000,143.0000,19.7241,0.0000,143.0000,143.0000,0.0000,143.0,0.0,0.0000,0.0,0.0000,0.0000,123.2759,0.0000,123.2759,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,123.2759,0.0000,,123.2759,19.7241,0.0000,0.0000,,,,143.0000
