folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,idmesero,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
110233,109508,2026-07-18T02:35:45-06:00,,2026-07-18T05:37:40-06:00,F7,3,21,40.0000,0.0000,False,0.0000,,,False,0,0.0000,False,18.00,827.5862,,960.0000,960.0000,132.4138,0.0000,960.0000,960.0000,0.0000,960.0,0.0,0.0000,0.0,0.0000,0.0000,827.5862,487.9310,339.6552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,487.9310,339.6552,0.0000,,827.5862,132.4138,0.0000,0.0000,,,,0.0000
110238,109493,2026-07-18T03:15:18-06:00,,2026-07-18T03:57:09-06:00,F6,2,21,95.0000,0.0000,False,0.0000,,,False,0,0.0000,False,9.00,521.5517,,605.0000,605.0000,83.4483,0.0000,605.0000,605.0000,0.0000,605.0,0.0,0.0000,0.0,0.0000,0.0000,521.5517,368.9655,146.5517,6.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,368.9655,146.5517,6.0345,,521.5517,83.4483,0.0000,0.0000,,,,0.0000
110244,109494,2026-07-18T03:46:43-06:00,,2026-07-18T04:15:37-06:00,E1,2,07,302.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,170.6897,,198.0000,198.0000,27.3103,0.0000,198.0000,198.0000,0.0000,198.0,0.0,0.0000,0.0,0.0000,0.0000,170.6897,50.8621,119.8276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.8621,119.8276,0.0000,,170.6897,27.3103,0.0000,0.0000,,,,0.0000
110247,109496,2026-07-18T03:55:49-06:00,,2026-07-18T04:45:39-06:00,A3,2,28,19.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,414.6552,,481.0000,481.0000,66.3448,0.0000,481.0000,481.0000,0.0000,481.0,0.0,0.0000,0.0,0.0000,0.0000,414.6552,266.3793,148.2759,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,266.3793,148.2759,0.0000,,414.6552,66.3448,0.0000,0.0000,,,,0.0000
110258,109506,2026-07-18T04:46:29-06:00,,2026-07-18T05:25:03-06:00,T2,2,23,222.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,239.6552,,278.0000,278.0000,38.3448,0.0000,278.0000,278.0000,0.0000,278.0,0.0,0.0000,0.0,0.0000,0.0000,239.6552,128.4483,111.2069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,128.4483,111.2069,0.0000,,239.6552,38.3448,0.0000,0.0000,,,,0.0000
110261,109513,2026-07-18T04:58:59-06:00,,2026-07-18T05:51:02-06:00,L3,2,09,13.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,506.0345,,587.0000,587.0000,80.9655,0.0000,587.0000,587.0000,0.0000,587.0,0.0,0.0000,0.0,0.0000,0.0000,506.0345,399.1379,106.8966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1379,106.8966,0.0000,,506.0345,80.9655,0.0000,0.0000,,,,0.0000
110277,109517,2026-07-18T06:01:09-06:00,,2026-07-18T06:04:23-06:00,L3,1,09,147.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,304.3103,,353.0000,353.0000,48.6897,0.0000,353.0000,353.0000,0.0000,353.0,0.0,0.0000,0.0,0.0000,0.0000,304.3103,180.1724,124.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,180.1724,124.1379,0.0000,,304.3103,48.6897,0.0000,0.0000,,,,0.0000
110285,109537,2026-07-18T06:58:54-06:00,,2026-07-18T07:49:27-06:00,A2,3,28,169.0000,0.0000,False,0.0000,,,False,0,0.0000,False,9.00,716.3793,,831.0000,831.0000,114.6207,0.0000,831.0000,831.0000,0.0000,831.0,0.0,0.0000,0.0,0.0000,0.0000,716.3793,369.8276,346.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,369.8276,346.5517,0.0000,,716.3793,114.6207,0.0000,0.0000,,,,0.0000
110287,109545,2026-07-18T07:02:46-06:00,,2026-07-18T08:35:59-06:00,F7,3,21,413.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,506.0345,,587.0000,587.0000,80.9655,0.0000,587.0000,587.0000,0.0000,587.0,0.0,0.0000,0.0,0.0000,0.0000,506.0345,417.2414,88.7931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,417.2414,88.7931,0.0000,,506.0345,80.9655,0.0000,0.0000,,,,0.0000
110292,109547,2026-07-18T07:46:48-06:00,,2026-07-18T08:49:06-06:00,F1,5,21,17.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,502.5862,,583.0000,583.0000,80.4138,0.0000,583.0000,583.0000,0.0000,583.0,0.0,0.0000,0.0,0.0000,0.0000,502.5862,42.2414,460.3448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.2414,460.3448,0.0000,,502.5862,80.4138,0.0000,0.0000,,,,0.0000
110302,109555,2026-07-18T08:47:59-06:00,,2026-07-18T09:07:45-06:00,.LLEVAR,1,17,0.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,124.1379,,144.0000,144.0000,19.8621,0.0000,144.0000,144.0000,0.0000,144.0,0.0,0.0000,0.0,0.0000,0.0000,124.1379,119.8276,0.0000,4.3103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,119.8276,0.0000,4.3103,,124.1379,19.8621,0.0000,0.0000,,,,0.0000
110307,109572,2026-07-18T09:17:48-06:00,,2026-07-18T10:07:11-06:00,L3,1,24,126.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,322.4138,,374.0000,374.0000,51.5862,0.0000,374.0000,374.0000,0.0000,374.0,0.0,0.0000,0.0,0.0000,0.0000,322.4138,187.9310,134.4828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,187.9310,134.4828,0.0000,,322.4138,51.5862,0.0000,0.0000,,,,0.0000
110310,109576,2026-07-18T09:31:42-06:00,,2026-07-18T10:55:20-06:00,F3,2,44,114.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,332.7586,,386.0000,386.0000,53.2414,0.0000,386.0000,386.0000,0.0000,386.0,0.0,0.0000,0.0,0.0000,0.0000,332.7586,239.6552,93.1034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,239.6552,93.1034,0.0000,,332.7586,53.2414,0.0000,0.0000,,,,0.0000
